Location Searched,Insoection vs Plan Check,Address,Last Activity Date,Last Activity Action,Status of Latest Action,Permit No.,Type of Project,Project Description
palo alto,— Inspection,935 Scott St,Mar 21 2011,Permit Issued,Approved,10000-01675,Permit: #10000-01675,INSTALL GRAYWATER SYSTEM,
palo alto,— Permit,1129 Emerson St,Apr 19 2010,Permit Issued,Permit Issued,10000-00610,Permit: #10REV-00114,10-391: NEW BEAMS & POSTS TO REPLACE (E) POST.,
palo alto,— Inspection,1102 Embarcadero Rd,Aug 2 2010,Permit Issued,Approved,10000-01654,Permit: #10000-01654,TRENCHLESS SEWER REPLACEMENT ALL ON PRIVATE PROPERTY.,
palo alto,— Inspection,3484 Rambow Dr,Feb 11 2016,Permit Issued,Approved,15000-01529,Res Remodel/Repair,RESIDENTIAL KITCHEN REMODEL (120 SF): REMOVE AND REPLACE COUNTERTOPS CABINETS SINK GARBAGE DISPOSAL AND KITCHEN HOOD IN SAME LOCATIONS; HALL BATH (40 SF) REMODEL: REMOVE AND REPLACE (E) PLUMBING FIXTURES IN SAME LOCATION AND REPLACE (E) WINDOW (SAME SIZE) ASSOCIATED ELECTRICAL IN KITCHEN AND BATH,
palo alto,— Permit,868 Elbridge Wy,Mar 23 2010,Permit Issued,Permit Issued,10000-00601,Permit: #10000-00601,REMOVE AND REPLACE FURNACE - SAME LOCATION,
palo alto,— Inspection,436 Monroe Dr,Mar 31 2010,Permit Issued,Approved,10000-00599,Permit: #10000-00599,REPLACE EXISTING FURNACE IN UPSTAIRS CLOSET - 70000 BTU,
palo alto,Plam Check,3101 Middlefield Rd,Dec 2 2015,Permit Issued,Approved,15000-01477,Revision,15000-01477: STUCCO ONE END OF THE BUILDING. STRUCTURAL PLYWOOD TO REMAIN.,
palo alto,— Inspection,1220 Byron St,May 26 2010,Permit Issued,Approved,10000-00596,Permit: #10000-00596,REPLACE WATER HEATER W/NEW 38 GALLON W.HTR,
palo alto,— Inspection,200 Iris Wy,Jun 17 2015,Permit Issued,Approved,15000-00180,Res Elect/Plbg/Mech only,REPLACE (E) 50-GAL WATER HEATER IN SAME LOCATION: EXTERIOR CLOSET AT BACK OF HOUSE,
palo alto,— Inspection,3350 Bayshore Rd Suite 140,Jan 20 2011,Permit Issued,Approved,10000-00594,Permit: #10000-00594,INSTALL TEST INSTRUMENTS AND ASSOCIATED MECHANICAL EQUIPMENT. ~3500SF,
palo alto,— Inspection,715 Homer Av,Aug 18 2010,Permit Issued,Cancelled,10000-00593,Permit: #10000-01937,TEMPORARY POWER ~100 AMPS,
palo alto,— Inspection,449 Hawthorne Av Apt 3,May 11 2010,Permit Issued,Approved,10000-00611,Permit: #10000-00611,REMODEL KITCHEN APPROX 152 SF.,
palo alto,— Inspection,101 Alma St Unit 1008,Oct 7 2010,Permit Issued,Approved,10000-01879,Permit: #10000-01879,REMOVE BATH TUB AND REPLACE WITH SHOWER; ADD FIRE RATED ACCESS DOOR TO NEW WATER SHUTOFF VALVE.,
palo alto,— Inspection,924 Industrial Av,May 6 2016,Finaled,Approved,15000-02974,Re-roofing,COMMERCIAL REROOF OVERLAY DURA-LAST 70 SQUARES. EQUIPMENT SHALL BE LISTED BY APPROVED LISTING AGENCY AND INSTALLED PER MANUFACTURER SPEC.,
palo alto,— Inspection,1716 Fulton St,Jan 12 2016,Permit Issued,Approved,16000-00011,Res Remodel/Repair,RESIDENTIAL REMOVE EXISTING WOOD BURNING FIREPLACE AND REPLACE WITH DIRECT VENT FIREPLACE AND TWO NEW ELECTRICAL OUTLETS.,
palo alto,— Inspection,558 Hawthorne Av,Jul 27 2015,Permit Issued,Approved,15000-01508,Res Elect/Plbg/Mech only,ROOF MOUNTED PHOTOVOLTAIC SYSTEM 4.2kW,
palo alto,Plam Check,3340 Bryant St,Aug 18 2009,,Approved,09REV-00289,Permit: #09REV-00316,08-2672: GAS PIPING DIAGRAM FOR BOILER,
palo alto,Plam Check,1557 El Camino Real,May 26 2009,,Approved,09REV-00207,Permit: #09REV-00207,08-2376: REVISED STRUCTURAL DETAILS 10 & 14 TO REBAR CONFIGURATION WITHIN WALL FOOTINGS. MODIFY WALL CONNECTION AT SECOND STORY STRUCTURAL SUPPORTS.,
palo alto,Plam Check,278 Campesino Av,Jun 5 2009,VOID,Approved,09REV-00219,Permit: #09REV-00219,***VOID: ENGINEER SUBMITTED REVISION UNATHORIZED BY CONTRACTOR***08-2739: PROVIDE STRUCTUAL SUPPORT MEMBERS FOR SOLAR PANELS.,
palo alto,Plam Check,2551 Middlefield Rd,Apr 6 2009,,Approved,09REV-00123,Permit: #09REV-00123,09-123: REVISED ROOF MOUNTING TO RAFTERS - USING QUICKMOUNTS INSTEAD OF STANDOFFS,
palo alto,— Inspection,3319 Vernon Ter,Apr 3 2009,,Approved,09000-00586,Permit: #09000-00586,Remove comp and install comp roof system on sloped areas. Remove foam and install IB single ply membrane on flat roof area,
palo alto,Plam Check,817 Cowper St,Mar 16 2015,Permit Issued,Approved,15000-00243,Revision,15000-00243: INSTALL (N) A/C UNIT ON NEW EXTERIOR ROOF WELL OF MULTI-FAMILY STRUCTURE,
palo alto,— Inspection,1091 Tanland Dr 208,Apr 22 2009,,Approved,09000-00596,Permit: #09000-00596,UNIT 208: REMODEL KITCHEN AND BATH NEW LAUNDRY AREA NEW SUBPANEL AND SUBFEED.,
palo alto,— Inspection,80 Roosevelt Cir,Apr 7 2009,,Approved,09000-00595,Permit: #09000-00595,REPLACE WATER HEATER 40 GALLON,
palo alto,— Inspection,2290 Emerson St,Dec 29 2015,In Plan Check,Approved,15000-02791,Res Elect/Plbg/Mech only,RESIDENTIAL ADD A CONDENSING UNIT TO EXISTING SYSTEM,
palo alto,Plam Check,363 Maclane,Apr 23 2009,,Approved,09REV-00155,Permit: #09REV-00155,08-2749: INCREASE HEIGHT OF FOUNDATION AT BACK AND SIDE OF HOUSE.,
palo alto,— Inspection,3790 Redwood Cir,Dec 18 2009,,Approved,09000-00590,Permit: #09000-00590,REPAIR SHOWER DRAIN REPLACE VALVE WITH PRESSURE BALANCED INSTALL 'DENSESHIELD' IN SHOWER STALL RETILE (RESET EXIST TOILET & LAVY); NO CHANGE TO EXIST LIGHTING OR ELECTRICAL.,
palo alto,— Permit,3375 Alma St Apt 381,Mar 25 2009,,Permit Issued,09000-00588,Permit: #09000-00588,REPLACE EXISTING FURNACE 70 BTU,
palo alto,Plam Check,1643 Edgewood Dr,Apr 6 2009,,Approved,09REV-00122,Permit: #09REV-00122,08-2946: REVISED ATTACHMENTS FROM ARAY TO RAFTERS - QUICKMOUNTS INSTEAD OF STANDOFFS,
palo alto,Plam Check,1150 Parkinson Av,Mar 24 2009,,Approved,09REV-00124,Permit: #09REV-00124,07-2514: KITCHEN LIGHTING REVISION,
palo alto,— Inspection,3000 El Camino Real,Dec 29 2015,In Plan Check,Not Approved - Not Ready,15000-03184,Com Remodel/Repair,U&O AND OFFICE TENANT IMPROVEMENT FOR "KAYE SCHOLER". LAW FIRM TO OCCUPY 5TH AND 6TH FLOOR. PROJECT INCLUDES NEW STAIRWAY BETWEEN FLOORS.,
palo alto,— Permit,410 Sheridan Av Unit 106,Oct 30 2012,Permit Issued,Permit Issued,12REV-00600,Permit: #12REV-00600,11000-00248: revision added for use of a different gas inset and to replace a shower valve in one bathroom and replace the tub/shower in the other bathroomall fees are charged under the main permit,
palo alto,— Inspection,265 Lytton Av,Dec 18 2014,Permit Issued,Approved,14000-01078,Com Remodel/Repair,A9: TI ON FIRST FLOOR. REMODEL (E) BREAKROOM RECEPTION/BREAK AREA. NO STRUCTURAL/EXTERIOR CHANGES. ~ 560 SF.,
palo alto,— Inspection,320 Kellogg Av,Jun 7 2016,Permit Issued,Approved,15000-03099,Res New Single Family,NEW DETACHED SECOND DWELLING UNIT (888 SF) WITH ATTACHED GARAGE (211 SF),
palo alto,— Intake,600 Sand Hill Rd,Mar 1 2011,Permit Issued,Plan check required,10000-03231,Permit: #11000-00554,U&O FOR "Vi AT PALO ALTO" A SKILLED NURSING ASSISTED LIVING AND MEMORY SUPPORT RESIDENCE FOR SENIOR CITIZENS. PERMIT # 02-2678,
palo alto,— Inspection,448 Grant Av,Mar 4 2011,Permit Issued,Approved,11000-00552,Permit: #11000-00552,GAS LINE REPAIR -REPLACE VALVE AT STOVE,
palo alto,— Permit,943 Bryant St,Mar 19 2012,Permit Issued,Permit Issued,12REV-00167,Permit: #12REV-00167,12-00268: NEW TANKLESS WATER HEATER ADDED. APPROVED BY UTL UNDER 12UTL-080,
palo alto,— Inspection,1653 Mariposa Av,Nov 4 2011,Permit Issued,Approved,11000-00550,Permit: #11000-00550,CONVERT WALKIN CLOSET TO MASTER BATH AND CONVERT EXISTING MASTER BATH TO HALL BATH.,
palo alto,— Inspection,568 Alger Dr,Jul 7 2011,Permit Issued,Approved,11000-00549,Permit: #11000-00549,INSTALL RESIDENTAL PV SYSTEM,
palo alto,— Inspection,3146 Emerson St,Apr 18 2011,Permit Issued,Approved,11000-00548,Permit: #11000-00548,INSTALL ELECTRIC VEHICLE CHARGING STATION TO EXTERIOR OF ATTACHED GARAGE.,
palo alto,— Inspection,1365 Lincoln Av,Mar 10 2011,Permit Issued,Approved,11000-00547,Permit: #11000-00547,ROOF REPAIR CAUSED BY FALLEN TREE.,
palo alto,— Permit,180 El Camino Real Suite 078,Jun 13 2013,Permit Issued,Permit Issued,13000-01583,Permit: #13000-01583,RELOCATE ONE SINK IN PREP AREA MODIFY WORK COUNTER TO CONFORM TO ACCESSIBLITY REQUIREMENTS RELOCATE 4 ELECTRICAL RECEPTICLES TO ACCOMODATE NEW COUNTER EQUIPMENT [DEH #SR0840598],
palo alto,— Inspection,931 Moreno Av,Jul 8 2011,Permit Issued,Approved,11000-00558,Permit: #11000-00558,REBUILD LIKE FOR LIKE COURTYARD WALL AND LATTICE.,
palo alto,— Inspection,4141 El Camino Real,Jun 9 2016,Permit Issued,Cancelled,16000-00889,Com Remodel/Repair,TI AND UO: REPLACE WINDOW (17) REMODEL EXISTING RESTROOM (35 SF) REPAIR TERMITE DAMAGES ON WALL AND CELILING FLOORING FIX THE WALK LEADING,
palo alto,— Inspection,101 Alma St Unit 802,May 18 2011,Permit Issued,Approved,11000-00556,Permit: #11000-00556,KITCHEN REMODEL: REPLACE COUNTERS AND CABINENTS NEW ELECTRICAL AND SURFACE MOUNTED LIGHTS -92 SF,
palo alto,— Permit,180 El Camino Real Suite 101,Aug 10 2011,Permit Issued,Permit Issued,11000-00555,Permit: #11REV-00321,ANN TAYLOR [11-555] INCORPORATES ALL CLARIFICATIONS AND FIELD CHANGES AS WELL AS INSPECTION COMMENTS.,
palo alto,— Inspection,1205 Fulton St,Aug 26 2011,Permit Issued,Approved,11000-00711,Permit: #11000-00711,NEW IN GROUND POOL WITH ASSOCIATED POOL EQUIPMENT,
palo alto,Plam Check,260 Sheridan Av,Apr 19 2016,Permit Issued,Approved,12000-00440,Com Remodel/Repair,**CONCURRENT REVIEW 16PLN-00075**MODIFICATION EXISTING WIRELESS SITE SWAPPING (3) ANTENNES ADDING (3) RRUS-32 ADDING (3) DC6 SURGE SUPPRERIOR INSTALLING NEW 23' RACK WITH DC12 SURGE SUPPRESSOR INSTALLING 6601 V2 CHARIS WITH DUS41 XMU INSIDE 19" RACK INSTALLING 6 DC POWER TGRUNK CABLES REMOVING (2) DC 6 SURGE SUPPRESSORS FROM RACK AND (1) DC6 SURGE SUPPRONOR FROM ANTENNAS,
palo alto,— Inspection,275 Olive Av,Mar 9 2011,Permit Issued,Approved,11000-00572,Permit: #11000-00572,GAS LINE REPAIR -REPAIR LEFT/RIGHT NIPPLE IN GARAGE ON COMMON WALL WITH METER,
palo alto,— Inspection,2757 Waverley St,May 10 2011,Permit Issued,Approved,11000-00976,Permit: #11000-00976,REMOVE/REPLACE GAS WATER HEATER,
palo alto,Plam Check,3412 Ross Rd,Dec 22 2015,Approved,Approved,15000-01035,Revision,15000-01034: REVISION TO UPGRADE ADA ACCESSIBILITY IN PARKING LOT,
palo alto,— Inspection,4079 Wilkie Wy,Dec 6 2012,Permit Issued,Approved,12000-02770,Permit: #12000-02770,INSTALL NEW FORCED AIR FURNACE. INSTALL NEW FURNACE IN CRAWL SPACE AND 5 DUCT OUTLETS. GAS LINE SIZING TO BE CHECKED IN FIELD PER BRENT.,
palo alto,— Inspection,3415 Greer Rd,Jul 28 2015,Permit Issued,Approved,14000-02423,Web-Re-roofing,RESIDENTIAL REROOF - TEAR OFF TAR AND GRAVEL. NO RESHEET. INSTALL THERMAL WHITE GLASKAP MEMBRANE KOOL ROOF. CLASS A. 33 SQUARES.,
palo alto,— Inspection,3990 El Camino Real,Nov 13 2013,Permit Issued,Not approved; corrections required,13000-02942,Permit: #13000-02942,REROOF INCLUDES OVERLAY WITH LISTED CAP SHEET CLASS "A" ASSEMBLY ~120 SQUARES,
palo alto,— Inspection,3708 Ortega Ct,Nov 18 2011,Permit Issued,Approved,11000-02797,Permit: #11000-02797,INSTALL (9) RECESSED LIGHTS AND PENDANTS LED IN KITCHEN.,
palo alto,— Inspection,728 Gailen Av,Jun 22 2016,Finaled,Approved,16000-01419,Res Elect/Plbg/Mech only,ELECTRIC VEHICLE CHARGING CIRCUIT: FURNISH AND INSTALL (1) 240 V 50 AMP DEDICATED CIRCUIT W/ OWNER PROVIDED TESLA WALL CONNECTOR ON THE FRONT OF THE HOME TO CHARGE THE TESLA MODEL S.,
palo alto,Plam Check,951 Dennis Dr,Jun 28 2016,In Plan Check,Not approved,16000-01283,Res Addition & Remodel,MASTER BATHROOM REMODEL ADDITION TO THE FRONT OF THE BUILDING (268 SF) MASTER BATHROOM RELOCATION & WALK IN CLOSET REMODEL (120 SF),
palo alto,— Inspection,4014 Ben Lomond Dr,May 25 2011,Permit Issued,Approved,11000-00559,Permit: #11000-00559,REMODEL MASTER BATHROOM AND HALLWAY BATHROOM (130 SF),
palo alto,— Inspection,723 Florales Dr,Jun 21 2015,Permit Issued,Approved,14000-01092,Res Elect/Plbg/Mech only,REPLACE (E) GAS HOT WATER WITH (N) TANKLESS WATER HEATER (MOUNTED ON OUTSIDE WALL OF GARAGE ABOVE AND TO THE LEFT OF GAS METER),
palo alto,— Permit,365 Lincoln Av,Apr 23 2012,Permit Issued,Permit Issued,11000-01642,Permit: #12REV-00173,11000-00973; REVISION TO DECK AREA AND ~5000SF LANDSCAPE PLANS.,
palo alto,— Permit,509 Hale St,Feb 22 2013,Permit Issued,Permit Issued,11000-03265,Permit: #13REV-00109,12000-00386: ADD A (1150 SF) PORCH AT THE REAR OF THE RESIDENCE AND A NEW INGROUND SPA,
palo alto,— Inspection,675 Greer Rd,Apr 28 2016,Permit Issued,Approved,15000-02514,Web-Re-roofing,Sweep and clean debris off roof. Spray/apply foam and coatings.,
palo alto,— Inspection,300 University Av,Aug 23 2013,Permit Issued,Approved,13000-02145,Permit: #13000-02145,COMMERCIAL TI (100SF) CONSTRUCTION OF (N) CONSULTATION ROOM,
palo alto,— Permit,1523 Hamilton Av,Feb 23 2012,Permit Issued,Permit Issued,11000-01170,Permit: #12REV-00097,11-1170; REVISE PLANS TO INCLUDE 2 TANKLESS WATER HEATERS ~140 KBTU WITH ASSOCIATED REVISED T-24.,
palo alto,— Permit,3226 Waverley St,Jan 9 2013,Permit Issued,Permit Issued,12000-00383,Permit: #13REV-00006,12000-00383: ADD WASHER DRYER HOOKUP AT THE COVERED PORCH ON THE SIDE OF THE HOUSE AND ADD A BOLLARD FOR THE WATER HEATER IN THE GARAGE.,
palo alto,— Inspection,187 Walter Hays Dr,May 17 2012,Permit Issued,Approved,12000-00497,Permit: #12000-00497,RESIDENTIAL KITCHEN REMODEL AND WINDOW REPLACEMENT LIKE FOR LIKE.,
palo alto,Plam Check,721 Webster St,,,,12000-01225,Revision,(12000-01225) UPDATING STRUCTURAL DECK DETAIL TO MATCH ARCHITECTURAL,
palo alto,— Inspection,861 Newell Pl,Dec 18 2013,Permit Issued,Approved,13000-03198,Permit: #13000-03198,REPLACE WATER HEATER SAME SIZE SAME LOCATION,
palo alto,Plam Check,3127 El Camino Real,Jul 11 2014,Permit Issued,Approved; inspection required,12000-03007,Permit: #13000-03126,MIXED USE (69506 SF) ADDITION INCLUDES GROUND FLOOR RETAIL FUTURE RESTURANT COMMERCIAL RECREATION SPACE 2ND - 4TH FLOOR RESIDENTIAL APARTMENTS 2ND - 3RD FLOOR OFFICE SPACE AND EXPANSION (30000 SF) OF (E) UNDERGROUND PARKING. DEMO OF 3159 ECR ON 13000-03126 .,
palo alto,— Permit,646 Georgia Av,Feb 22 2012,Permit Issued,Permit Issued,11000-02212,Permit: #12REV-00096,11-2212; VAULT CEILING AND ASSOCIATED STRUCTURAL CHANGES. NO EXTERIOR CHANGES.,
palo alto,— Permit,209 Hamilton Av,Oct 3 2014,Permit Issued,Permit Issued,14000-01399,Revision,14000-01399: REVISE COVER SHEET AND OCCUPANCY LOAD CALCULATION PAGE TO SHOW THE REVISED OCCUPANT LOAD OF 82,
palo alto,— Inspection,922 El Cajon Wy,Jan 3 2012,Permit Issued,Approved,11000-02994,Permit: #11000-02994,INSTALL RESIDENTIAL EV CHARGER ON THE EXTERIOR OF THE GARAGE,
palo alto,— Permit,688 Josina Av,Feb 22 2012,Permit Issued,Permit Issued,11000-03012,Permit: #12REV-00101,11000-03012: REMODELED BATHROOM BEING CONVERTED TO WALK IN CLOSET FOR MASTER BEDROOM AND HALL CLOSET/(E) BEDROOM CLOSET CONVERTED TO A NEW BATHROOM,
palo alto,— Inspection,314 Stanford Av,Mar 19 2013,Permit Issued,Approved,13000-00518,Permit: #13000-00518,RESIDENTIAL: EVSE ADD ONE NEW LEVEL 2 CHARGING STATION WITH A NEW BRANCH CIRCUIT (EXTEND ELECTRIC FROM EXISTING LINE),
palo alto,Plam Check,936 Addison Av,,,,11000-01576,Permit: #12000-00295,REPLACE STORAGE TYPE GAS WATER HEATER - SAME SIZE AND LOCATION,
palo alto,— Inspection,480 Marlowe St,Oct 13 2015,Finaled,Approved,15000-00310,Res Remodel/Repair,RESIDENTIAL REMODEL ~412SF INCLUDES KITCHEN REMODEL AND UPGRADE AND NEW SKYLIGHTS,
palo alto,— Inspection,525 W Crescent Dr,Sep 22 2011,Permit Issued,Approved,11000-02392,Permit: #11000-02392,REPLACE EXISTING SUB PANEL WITH MODERN SUB-PANEL IN THE EXISTING LOCATION (THE SIDE ENTRY),
palo alto,Plam Check,4131 El Camino Real Suite 104,Aug 31 2013,FIR - Routed,Not approved,12000-00394,Permit: #12000-00394,U&O FOR "AN KO & KOMBS BAKER" BAKERY TO OCCUPY ~1250 SF ON FIRST FLOOR.,
palo alto,— Inspection,504 Thain Wy,Feb 29 2012,Permit Issued,Approved,12000-00392,Permit: #12000-00392,REPLACE (E) ELECTRIC STORAGE WATER HEATER (50 GAL) WITH (N) ELECTRIC STORAGE WATER HEATER (40 GAL) IN THE SAME LOCATION AT CLOSET,
palo alto,— Inspection,435 Acacia Av,Oct 8 2015,Finaled,Approved,14000-03266,Permit: #14000-03266,REMODEL RESTROOMS FOR EXISTING TENANT "EQUINOX" ADD (N) VESTIBULES ASSOCIATED LIGHTING NO EXTERIOR CHANGES,
palo alto,— Inspection,531 Kendall Ave,Feb 27 2012,Permit Issued,Approved,12000-00393,Permit: #12000-00393,To remove existing wood shingles felt and flashings from the garage only. To install approximately 400 square feet of class "A" lifetime dimensional fiberglass shingles to the garage only.,
palo alto,— Inspection,3962 Middlefield Rd,Aug 27 2012,Permit Issued,Approved,12000-00774,Permit: #12000-00774,SUBWAY: TI AND U&O FOR A 800 SF SINGLE STORY TENANT SPACE,
palo alto,Plam Check,610 Wildwood Ln,,,,13000-02684,Revision,(13000-02684) MASTER BATH REMODEL AND EXTERIOR CHANGE FROM SIDING TO STUCCO.,
palo alto,— Inspection,2701 Waverley St,Aug 29 2012,Permit Issued,Approved,12000-01597,Permit: #12000-01597,Replace water heater,
palo alto,— Inspection,1880 Embarcadero Rd,May 5 2016,Permit Issued,Partially approved,16000-00949,Com Remodel/Repair,INSTALLATION OF NEW 12.5 TON RTU AND ASSOCIATED DUCTWORK,
palo alto,— Inspection,4131 El Camino Real,Jun 10 2015,Permit Issued,Approved,14000-01523,Use & Occupancy only,U&O ONLY FOR "OPUS 1 MUSIC STUDIO" TO OCCUPY STE. 200 ON SECOND FLOOR (2200 SF),
palo alto,— Inspection,1795 Edgewood Dr,Dec 26 2013,Permit Issued,Scheduled,13000-02991,Permit: #13000-02991,NEW TRELLIS AND FIREPIT AT REAR YARD. ABOVE GROUND SPA.,
palo alto,— Inspection,2422 South Ct,Jun 16 2015,Permit Issued,Approved,14000-03228,Permit: #14000-03228,RESIDENTIAL REROOF: 32 SQUARES OF COMP O/ (N) 1/2-INCH CDX,
palo alto,— Inspection,1775 Guinda St,Mar 13 2013,Permit Issued,Approved,13000-00580,Permit: #13000-00580,TRENCHLESS PIPEBURST 4" SEWER PIPE IN FRONT APPROX 40 FEET. REPLACE HOUSE C/OUT AND CITY C/OUT NEED TO DIG IN PLANTER STRIP & CONNECT TO CITY C/ OUT.,
palo alto,— Inspection,846 Boyce Av,Jan 5 2016,Permit Issued,Approved,15000-02307,Res Remodel/Repair,RESIDENTIAL BATHROOM REMODEL 20SF SCOPE OF WORK INCLUDES REPLACING SINK AND DEMO OF NON-LOAD BEARING WALL.,
palo alto,— Permit,18 Morton St,Dec 9 2010,Permit Issued,Permit Issued,10REV-00490,Permit: #10REV-00490,10-368: ADD FIREPIT AT THE REAR DECK -SINGLE LINE DIAGRAM PROVIDED,
palo alto,— Inspection,554 Madison Wy,Jun 14 2011,Permit Issued,Approved,09000-00603,Permit: #10000-01670,SEWER LINE AND WATER MAIN REPLACEMENT FROM HOUSE TO SIDEWALK.,
palo alto,— Permit,180 El Camino Real Suite 006,Oct 8 2014,Permit Issued,Permit Issued,14000-01532,Revision,14000-01532: INCREASED THE HEIGHT OF ONE INTEROR PARTITION AND REVISED FIXTURE OPENING LOCATION,
palo alto,— Inspection,2629 Cowper St,Oct 28 2010,Permit Issued,Approved,10000-02737,Permit: #10000-02737,REMOVE SHAKE ROOF INSTALL OSB 30 LB FELT AND 30 YEAR ELK (CLASS A 18 SQUARES),
palo alto,— Inspection,2645 Ramona St,Oct 21 2010,Permit Issued,Not approved; work not finished,10000-00633,Permit: #10000-01559,TEMP POWER,
palo alto,— Inspection,2050 Sandalwood Ct,Mar 30 2010,Permit Issued,Approved,10000-00624,Permit: #10000-00624,INSTALL 2 ELECTRICAL JUNCTION BOXES AND ASSOCIATED CABLES.,
palo alto,— Inspection,611 Barron Av,Oct 15 2010,Permit Issued,Approved,10000-00615,Permit: #10000-00615,REMOVE FLOOR HEATERS AND INSTALL FURNACE IN ATTIC.,
palo alto,— Permit,1138 Greenwood Av,Aug 26 2010,Permit Issued,Permit Issued,10000-02141,Permit: #10000-02141,REPAIR TWO GAS LEAK UNDERNEATH THE HOUSE,
palo alto,— Inspection,4045 Laguna Wy,Sep 2 2015,Permit Issued,Approved,15000-01240,Res Remodel/Repair,BATH REMODEL (97 SF) REPLACE (E) PLUMBING FIXTURES IN SAME LOCATION CHANGING FULL HEIGHT WALL TO HALF WALL NEAR (E) SHOWER INSTALL (N) WINDOW,
palo alto,— Inspection,4274 Wilkie Wy,Apr 5 2010,Permit Issued,Approved,10000-00631,Permit: #10000-00631,INSTALL 2" BACKFLOW DEVICE,
palo alto,— Inspection,2370 Watson Ct Suite 120,May 15 2014,FIR - Approved,Cancelled,10000-00630,Permit: #10000-00630,U&O FOR "THE PERRAULT BIRMINGHAM GROUP LLC" ~220 FT^2 ( GENERAL SPACE ),
palo alto,— Inspection,3757 Corina Wy,Sep 24 2010,Permit Issued,Approved,10000-00629,Permit: #10000-00629,KITCHEN REMODEL ~188 FT^2,
palo alto,— Permit,2677 Waverley St,Dec 10 2010,Permit Issued,Permit Issued,10000-00628,Permit: #10REV-00495,10-628; REVISION INCLUDES BRINGING ATTIC FURNACE ACCESS LIGHTING AND ASSOCIATED ELECTRICAL.,
palo alto,— Inspection,1590 Dana Av,Jun 23 2010,Permit Issued,Approved,10000-00627,Permit: #10000-00627,INSTALL OF (2) ROOF MOUNTED SOLAR COLLECTORS FOR DHW AND (1) SOLAR STORAGE TANK.,
palo alto,— Inspection,159 Churchill Av,Apr 15 2010,Permit Issued,Approved,10000-00626,Permit: #10000-00626,FINISH BASEMENT AREA ~140 FT^2 AND INSTALL NEW FORCED AIR UNIT IN CRAWL SPACE AREA.,
palo alto,— Inspection,157 Embarcadero Rd,Aug 27 2010,Permit Issued,Approved,10000-00625,Permit: #10000-00625,KITCHEN AND BATH REMODEL (110 SF); 4/27 LAYOUT REVISED REMOVE PARTITION WALLS -TO BE FIELD VERIFIED.,
palo alto,Plam Check,4127 El Camino Real,Aug 5 2011,FIR - Approved,Approved,10000-00636,Permit: #10000-00636,U&O FOR " SO GONG DONG TOFU HOUSE ",
palo alto,Plam Check,3483 El Camino Real,Mar 29 2010,FIR - Approved,Approved,10000-00634,Permit: #10000-00634,U&O FOR "ZONLINE SPORTS INC" ~910 FT^2 ON 1ST FLOOR,
palo alto,— Inspection,533 Channing Av,May 20 2010,Permit Issued,Approved,10000-00646,Permit: #10000-00646,REMODELING KITCHEN BATHROOMS AND ELECTRICAL THOUGHOUT.,
palo alto,— Permit,789 Encina Grande Dr,Mar 30 2010,Permit Issued,Permit Issued,10000-00645,Permit: #10000-00645,INSTALL BACKFLOW DEVICE,
palo alto,— Inspection,451 Alger Dr,Jul 1 2010,Permit Issued,Approved,10000-00644,Permit: #10000-00644,REPLACE 3/4" COPPER MAIN WITH NEW COPPER MAIN FROM METER TO HOUSE - ALL WORK ON PRIVATE PROPERTY; NO WORK IN PUBLIC RIGHT-OF-WAY WITHOUT PERMIT FROM PUBLIC WORKS DEPT.,
